geoname_id;code_insee
2968949;05182
2968950;31579
2968951;73320
2968952;21687
2968953;73003
2968954;70553
2968955;05007
2968956;38499
2968957;04033
2968958;11414
2968959;73318
2968960;39313
2968961;73317
2968962;74301
2968963;39562
2968964;39561
2968965;73316
2968966;39560
2968967;38552
2968969;28211
2968970;03101
2968971;38551
2968972;38550
2968973;11413
2968974;28211
2968976;38549
2968977;73315
2968978;38127
2968979;05139
2968980;73069
2968981;18248
2968982;11412
2968983;73314
2968984;38548
2968985;38547
2968986;73261
2968987;05181
2968989;73201
2968991;03009
2968992;36214
2968993;23263
2968994;03308
2968995;01109
2968996;23010
2968997;74301
2968998;73106
2968999;43212
2969000;87173
2969001;73329
2969002;95150
2969003;95150
2969004;78616
2969005;28422
2969007;06110
2969008;58309
2969009;35052
2969010;2A351
2969011;11411
2969013;37272
2969014;23002
2969015;33547
2969016;54322
2969017;28051
2969018;28410
2969019;35357
2969020;24581
2969021;45337
2969022;11410
2969023;27693
2969024;24035
2969025;18204
2969026;76741
2969027;72377
2969028;72376
2969029;95660
2969030;37271
2969031;21686
2969032;53271
2969033;72375
2969034;72374
2969035;21685
2969037;91377
2969038;58038
2969039;58213
2969040;58304
2969041;58123
2969042;18077
2969043;18204
2969044;86009
2969045;18278
2969046;68349
2969047;10301
2969048;18279
2969049;70552
2969050;10410
2969051;04120
2969052;54567
2969053;10409
2969054;24580
2969055;07001
2969057;18282
2969058;91659
2969059;04075
2969060;16406
2969061;09165
2969062;35132
2969063;22388
2969064;54566
2969066;77031
2969069;27377
2969070;89347
2969071;18194
2969072;36240
2969073;49373
2969074;57716
2969075;82193
2969077;36239
2969078;15201
2969079;31578
2969080;36238
2969081;18112
2969082;71176
2969083;95658
2969084;57715
2969085;28239
2969086;89436
2969087;18281
2969088;18280
2969089;03101
2969092;55553
2969093;77066
2969094;52524
2969095;33546
2969096;83063
2969097;19286
2969098;06110
2969100;16405
2969101;21684
2969104;58308
2969105;35356
2969106;38546
2969107;55047
2969108;11409
2969109;91657
2969110;02801
2969111;44217
2969112;55552
2969113;55551
2969114;54565
2969116;24445
2969117;52523
2969119;51147
2969120;89448
2969121;64557
2969122;16084
2969123;60675
2969124;77498
2969125;58032
2969126;58190
2969127;58190
2969128;65471
2969131;58190
2969132;91273
2969133;31577
2969134;87001
2969135;33051
2969136;14751
2969137;19118
2969138;2A142
2969139;2B058
2969140;2B350
2969141;2B350
2969142;2A324
2969143;47077
2969146;80793
2969148;33099
2969149;45336
2969150;2A349
2969151;23262
2969152;23187
2969153;65470
2969154;19285
2969156;2B049
2969158;59641
2969159;02800
2969160;38545
2969161;65469
2969162;41273
2969163;45065
2969164;21683
2969165;55551
2969166;54564
2969167;52522
2969168;21682
2969169;06163
2969170;65468
2969171;35355
2969173;27022
2969174;35354
2969175;89065
2969176;68348
2969177;56165
2969178;57638
2969179;16404
2969180;83110
2969181;76739
2969182;27598
2969184;59618
2969185;29302
2969186;27686
2969189;14654
2969190;61503
2969191;56169
2969192;52383
2969193;60674
2969194;88506
2969195;59617
2969196;24253
2969197;22387
2969198;76738
2969199;91689
2969200;76398
2969201;57713
2969202;08473
2969203;28165
2969206;14431
2969208;68347
2969210;65017
2969211;62239
2969212;59551
2969213;59616
2969214;69110
2969215;17094
2969218;21681
2969219;25614
2969220;89186
2969221;89083
2969222;77496
2969223;05090
2969224;14748
2969225;61150
2969226;22179
2969227;22219
2969228;22333
2969229;29142
2969230;56033
2969231;44086
2969232;63011
2969233;40328
2969234;59615
2969236;08280
2969237;14747
2969238;81316
2969239;53270
2969240;28409
2969241;34334
2969242;03312
2969243;12224
2969244;74010
2969245;01441
2969246;01442
2969248;25613
2969249;14726
2969250;59614
2969251;57092
2969252;02799
2969253;18279
2969254;18279
2969255;18279
2969257;18279
2969258;14745
2969259;50636
2969260;28408
2969261;76033
2969262;23261
2969263;23019
2969266;29195
2969268;05050
2969269;84123
2969270;65467
2969271;04203
2969272;88505
2969273;84144
2969274;51621
2969275;51620
2969276;45335
2969277;14744
2969278;95656
2969284;38544
2969285;79347
2969286;19018
2969287;21680
2969288;02798
2969289;08472
2969290;43263
2969291;81315
2969292;21679
2969293;58307
2969294;23162
